"TA+b004m","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b004o","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b004q","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b004x","1","1","1","1","1","0","1","2019-12-15","2020-12-12"
"TA+b004z","1","0","0","0","0","0","0","2019-12-15","2020-12-12"
"TA+b0051","1","1","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b0052","1","1","1","1","0","0","1","2019-12-15","2020-12-12"
"TA+b0054","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b0056","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b005b","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b005g","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b005h","0","0","1","1","0","1","1","2019-12-15","2020-12-12"
"TA+b005k","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b005m","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b005n","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b005o","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b005p","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b005s","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b005u","1","1","1","1","0","0","1","2019-12-15","2020-12-12"
"TA+b005v","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b0067","1","1","0","1","1","0","0","2019-12-15","2020-12-12"
"TA+b0068","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b0069","0","1","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b006a","1","1","1","1","0","1","1","2019-12-15","2020-12-12"
"TA+b006b","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b006c","1","1","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b006d","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b006f","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b006g","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b006h","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b006i","1","0","0","1","0","0","1","2019-12-15","2020-12-12"
"TA+b006j","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b006k","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b006l","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b006m","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b006n","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b006o","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b006p","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b006q","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b006w","0","0","1","0","0","0","1","2019-12-15","2020-12-12"
"TA+b0072","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b0077","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b0079","1","1","1","1","0","0","1","2019-12-15","2020-12-12"
"TA+b007j","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b007k","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b007l","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b007t","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b0081","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b0088","1","0","0","1","0","0","0","2019-12-15","2020-12-12"
"TA+b008b","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b008c","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b008f","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b008h","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b008k","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b008l","0","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b008n","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b008p","0","1","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b008t","0","1","1","0","0","0","0","2019-12-15","2020-12-12"
"TA+b008v","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b008w","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b008y","0","0","1","0","0","0","0","2019-12-15","2020-12-12"
"TA+b008z","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b0090","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b0091","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b0092","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b0093","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b0094","0","0","1","0","0","1","1","2019-12-15","2020-12-12"
"TA+b0095","0","0","1","0","0","1","1","2019-12-15","2020-12-12"
"TA+b0096","0","0","1","0","0","1","1","2019-12-15","2020-12-12"
"TA+b0097","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b0099","1","1","1","1","1","0","1","2019-12-15","2020-12-12"
"TA+b009a","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b009h","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b009i","0","0","1","1","0","0","0","2019-12-15","2020-12-12"
