"1100877","47.7682190439674","9.14577485835247","Überlingen West"
"1100882","47.6899397553511","9.00106524921352","Horn (D)"
"1322000","46.1672513851495","8.345807131427","Altoggio"
"1322001","46.060121674738","8.11361957990831","Antronapiana"
"1322002","45.9898698225697","8.34571729989858","Anzola"
"1322003","46.2614983591677","8.31925293162473","Baceno"
"1322004","46.0790618438814","8.29927439970313","Beura Cardezza, centro"
"1322005","46.1222963432243","8.21077237789936","Bognanco, T. Villa Elda"
"1322006","46.0656504576122","8.26113193273411","Boschetto"
"1322007","46.2978807772998","8.3626325767009","Cadarese"
"1322008","46.1340194356792","8.28619492916453","Caddo"
"1322010","45.9695691829797","8.04585965801774","Campioli"
"1322012","46.0205875326422","8.2148866619012","Castiglione"
"1322013","45.9710364221151","8.06992552448265","Ceppo Morelli"
"1322014","46.3530849443472","8.42787721579558","Chiesa (Val Formazza)"
"1322015","46.0967496675661","8.31182386422403","Cosasca di Trontano"
"1322016","46.0664046229574","8.2328978833503","Cresti"
"1322017","46.1562758593614","8.30343359946918","Crevoladossola"
"1322018","46.2141837457637","8.32131905677849","Crodo, Bagni"
"1322019","46.224016613202","8.3235648449891","Crodo, paese"
"1322021","46.1103590121829","8.31194064521098","Croppo di Trontano"
"1322022","45.6945937446539","0.595870494345107","Crusinallo"
"1322023","45.8978144032089","8.41460011589445","Crusinallo, stazione"
"1322024","45.9950124681701","8.3723253986179","Cuzzago, bivio FS"
"1322025","46.0506335666547","8.27917908679458","Cuzzego di Cardezza"
"1322026","46.1231804870982","8.28951869571624","Domodossola, Cappuccina"
"1322027","46.1250296717215","8.29151295564726","Domodossola, Corso Cairoli 20"
"1322029","46.1182739321325","8.28707527814309","Domodossola, Ospedale"
"1322030","46.1116481443012","8.29290534433784","Domodossola, piazza Orsi Mose"
"1322031","46.1149673650401","8.2918183828439","Domodossola, piazza Repubblica"
"1322032","46.1212752016571","8.27465157776199","Domodossola, via di Vittorio"
"1322033","46.1223087960535","8.29057870775165","Domodossola, via Sant'Antonio"
"1322034","46.121163123991","8.28403897248234","Domodossola, via Scappacino"
"1322035","46.1086712622384","8.29631894241797","Domodossola, via Torino"
"1322036","46.1210074601876","8.28910547068548","Domodossola, via Turati"
"1322037","45.9459194203703","8.49004063346531","Fondotoce (ex stab. Gewa)"
"1322038","46.3445650923203","8.42586498955888","Fondovalle"
"1322039","46.3333830971239","8.40435033850122","Foppiano"
"1322040","46.1216114332874","8.23722776302036","Gabbio"
"1322041","46.1582981587513","8.33162273308878","Giosio"
"1322042","46.0188970358977","8.2418720530399","Gozzi"
"1322044","45.9322382942441","8.4303565659801","Gravellona Toce, bivio FS"
"1322045","45.9289955599764","8.43171302205931","Gravellona Toce, via Sempione"
"1322047","45.9422152295374","8.56464571782182","Intra, rimessa"
"1322048","46.0524415447647","8.13400235370782","Locasca"
"1322049","45.9628630932191","7.98509761219144","Macugnaga, Borca"
"1322050","45.9724661624338","7.95336013319908","Macugnaga, Pecetto"
"1322051","45.9593411343863","8.01267589141774","Macugnaga, Pestarena"
"1322052","45.9682954630235","7.96749961577309","Macugnaga, Staffa"
"1322053","46.0482519327487","8.14155718524831","Madonna (Valle d'Antrona)"
"1322054","45.6263223618675","8.7128318071108","Malpensa, aeroporto"
"1322055","46.1367957559513","8.32623284138331","Masera"
"1322057","45.9915799300841","8.30794314219609","Megolo Mezzo"
"1322058","45.9868114693661","8.39559176447983","Migiandone Bivio"
"1322059","46.232132685143","8.32336721562657","Miramonti"
"1322060","46.1236474587703","8.27509175225127","Mocogna"
"1322061","46.0099072164743","8.18588904452578","Molini"
"1322062","46.1653849536492","8.32661013380269","Montecrestese"
"1322063","46.1695034615162","8.3365365176936","Nava"
"1322064","46.1599283890748","8.34076758268239","Naviledo"
"1322065","46.174697816417","8.31578543462755","Oira"
"1322066","45.8718573783697","8.41265975488048","Omegna, stazione"
"1322067","45.8734085121291","8.4109080400762","Omegna, Ospedale"
"1322068","45.8764793790876","8.41100685475747","Omegna, via de Amicis"
"1322070","45.9711675352099","8.41424977293359","Ornavasso, stazione"
"1322072","45.9282457678424","8.55477323284797","Pallanza, Tribunale"
"1322073","46.0429583524713","8.26048514572945","Pallanzeno, stazione"
"1322074","46.3151198378836","8.38144329875298","Passo"
"1322075","46.2791151848311","8.35259839497589","Piedilago"
"1322076","46.0244174705878","8.26086243814883","Piedimulera, stazione"
"1322077","46.0213984536963","8.25804172815631","Piedimulera, piazza Gramsci"
"1322078","46.0099446510908","8.26406942371359","Pieve Vergonte, centro"
"1322079","46.1528906749873","8.30438581367048","Ponte di Crevola"
"1322080","46.3765417769691","8.4269070352886","Ponte Formazza"
"1322081","45.9904814729326","8.1473962345959","Pontegrande"
"1322082","46.1804576889966","8.32344806400215","Pontemaglio"
"1322083","46.1505196773816","8.31420439972728","Pontetto di Montecrestese"
"1322084","46.0384998790105","8.27993367163335","Prata di Vogogna"
"1322085","46.05294652118","8.19670476054809","Prato"
"1322086","46.1454848581969","8.29621114458386","Preglia di Crevoladossola"
"1322087","46.2674230135132","8.33600651167589","Premia"
"1322088","46.2686028996594","8.3407496163767","Premosello"
"1322090","46.3275027946821","8.39119001958704","Rivasco"
"1322091","46.1541663663428","8.32432841298071","Roldo"
"1322092","45.993901597327","8.28818918909555","Rumianca"
"1322093","45.9881908699962","8.13300522374231","San Carlo"
"1322094","46.1267169207052","8.20008242601685","San Lorenzo"
"1322095","46.3674429118756","8.42931452025038","San Michele"
"1322096","46.3029326698351","8.3673936477074","San Rocco"
